text{ key = "map.location.haunted_house/outside", value = "The Haunted House" }
text{ key = "map.location.outskirts/barn", value = "The Barn" }
text{ key = "map.location.outskirts/farm", value = "The Farm" }
text{ key = "map.location.outskirts/forest", value = "The Forest" }
text{ key = "map.location.outskirts/pumpkin_cove", value = "Pumpkin Cove" }
text{ key = "map.location.suburbs/cemetery", value = "The Cemetery" }
text{ key = "map.location.suburbs/dennys", value = "Denny's" }
text{ key = "map.location.suburbs/downtown", value = "Downtown" }
text{ key = "map.location.suburbs/neighborhood", value = "The Neighborhood" }
text{ key = "map.location.suburbs/video_store", value = "The Video Store" }
text{ key = "menu.pause.map_title", value = "Auburn Tourism Bureau" }
text{ key = "menu.pause.objective", value = "Go to %s" }
text{ key = "menu.title.button_mapping", value = "Button Mapping" }
text{ key = "menu.title.cancel", value = "Cancel" }
text{ key = "menu.title.clear_save", value = "Clear Save" }
text{ key = "menu.title.continue", value = "Continue" }
text{ key = "menu.title.credits", value = "Credits" }
text{ key = "menu.title.new_game", value = "New Game" }
text{ key = "menu.title.options", value = "Options" }
text{ key = "menu.title.quit", value = "Quit" }
