properties{
  x = 0,
  y = 0,
  width = 960,
  height = 720,
  min_layer = 0,
  max_layer = 2,
  tileset = "haunted_house",
  music = "haunted_house_exploration",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 960,
  height = 720,
  pattern = "8_9",
}

tile{
  layer = 0,
  x = 32,
  y = 512,
  width = 288,
  height = 176,
  pattern = "12",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 176,
  y = 384,
  width = 80,
  height = 128,
  pattern = "12",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 32,
  y = 208,
  width = 288,
  height = 176,
  pattern = "12",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 80,
  y = 64,
  width = 48,
  height = 144,
  pattern = "12",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 320,
  y = 272,
  width = 160,
  height = 48,
  pattern = "12",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 480,
  y = 208,
  width = 192,
  height = 176,
  pattern = "12",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 320,
  y = 576,
  width = 240,
  height = 48,
  pattern = "12",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 560,
  y = 544,
  width = 112,
  height = 112,
  pattern = "12",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 592,
  y = 384,
  width = 48,
  height = 160,
  pattern = "12",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 672,
  y = 240,
  width = 128,
  height = 32,
  pattern = "12",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 800,
  y = 208,
  width = 96,
  height = 96,
  pattern = "12",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 832,
  y = 96,
  width = 32,
  height = 112,
  pattern = "12",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 32,
  y = 192,
  width = 48,
  height = 16,
  pattern = "92_9",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 32,
  y = 160,
  width = 48,
  height = 32,
  pattern = "92_8",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 80,
  y = 48,
  width = 48,
  height = 16,
  pattern = "92_9",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 80,
  y = 16,
  width = 48,
  height = 32,
  pattern = "92_8",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 128,
  y = 192,
  width = 192,
  height = 16,
  pattern = "92_9",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 128,
  y = 160,
  width = 192,
  height = 32,
  pattern = "92_8",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 320,
  y = 256,
  width = 160,
  height = 16,
  pattern = "92_9",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 320,
  y = 224,
  width = 160,
  height = 32,
  pattern = "92_8",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 480,
  y = 192,
  width = 192,
  height = 16,
  pattern = "92_9",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 480,
  y = 160,
  width = 192,
  height = 32,
  pattern = "92_8",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 672,
  y = 224,
  width = 128,
  height = 16,
  pattern = "92_9",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 672,
  y = 192,
  width = 128,
  height = 32,
  pattern = "92_8",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 800,
  y = 192,
  width = 32,
  height = 16,
  pattern = "92_9",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 800,
  y = 160,
  width = 32,
  height = 32,
  pattern = "92_8",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 864,
  y = 192,
  width = 32,
  height = 16,
  pattern = "92_9",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 864,
  y = 160,
  width = 32,
  height = 32,
  pattern = "92_8",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 832,
  y = 80,
  width = 32,
  height = 16,
  pattern = "92_9",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 832,
  y = 48,
  width = 32,
  height = 32,
  pattern = "92_8",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 560,
  y = 528,
  width = 32,
  height = 16,
  pattern = "92_9",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 560,
  y = 496,
  width = 32,
  height = 32,
  pattern = "92_8",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 640,
  y = 528,
  width = 32,
  height = 16,
  pattern = "92_9",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 640,
  y = 496,
  width = 32,
  height = 32,
  pattern = "92_8",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 32,
  y = 496,
  width = 144,
  height = 16,
  pattern = "92_9",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 32,
  y = 464,
  width = 144,
  height = 32,
  pattern = "92_8",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 256,
  y = 496,
  width = 64,
  height = 16,
  pattern = "92_9",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 256,
  y = 464,
  width = 64,
  height = 32,
  pattern = "92_8",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 320,
  y = 560,
  width = 240,
  height = 16,
  pattern = "92_9",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 320,
  y = 528,
  width = 240,
  height = 32,
  pattern = "92_8",
  tileset = "ghost_town",
}

tile{
  layer = 0,
  x = 80,
  y = 0,
  width = 48,
  height = 16,
  pattern = "10",
}

tile{
  layer = 0,
  x = 64,
  y = 16,
  width = 16,
  height = 128,
  pattern = "8_2",
}

tile{
  layer = 0,
  x = 128,
  y = 16,
  width = 16,
  height = 128,
  pattern = "8_4",
}

tile{
  layer = 0,
  x = 832,
  y = 32,
  width = 32,
  height = 16,
  pattern = "10",
}

tile{
  layer = 0,
  x = 816,
  y = 48,
  width = 16,
  height = 96,
  pattern = "8_2",
}

tile{
  layer = 0,
  x = 864,
  y = 48,
  width = 16,
  height = 96,
  pattern = "8_4",
}

tile{
  layer = 0,
  x = 32,
  y = 144,
  width = 32,
