properties{
  x = 0,
  y = 0,
  width = 1248,
  height = 1200,
  min_layer = 0,
  max_layer = 2,
  tileset = "halloween",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 1248,
  height = 1200,
  pattern = "1",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 1280,
  height = 1200,
  pattern = "5",
  tileset = "grass_green_large",
}

tile{
  layer = 0,
  x = 0,
  y = 144,
  width = 1248,
  height = 80,
  pattern = "26",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 0,
  y = 224,
  width = 1248,
  height = 16,
  pattern = "28",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 0,
  y = 128,
  width = 1248,
  height = 16,
  pattern = "28",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 0,
  y = 640,
  width = 1248,
  height = 16,
  pattern = "28",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 0,
  y = 544,
  width = 1248,
  height = 16,
  pattern = "28",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 976,
  y = 224,
  width = 16,
  height = 976,
  pattern = "28",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 880,
  y = 224,
  width = 16,
  height = 976,
  pattern = "28",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 352,
  y = 224,
  width = 16,
  height = 976,
  pattern = "28",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 256,
  y = 224,
  width = 16,
  height = 976,
  pattern = "28",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 0,
  y = 560,
  width = 1248,
  height = 80,
  pattern = "26",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 472,
  y = 496,
  width = 80,
  height = 16,
  pattern = "28",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 536,
  y = 512,
  width = 16,
  height = 32,
  pattern = "28",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 392,
  y = 560,
  width = 64,
  height = 32,
  pattern = "1_9",
  tileset = "cars",
}

tile{
  layer = 0,
  x = 472,
  y = 560,
  width = 64,
  height = 32,
  pattern = "1_3",
  tileset = "cars",
}

tile{
  layer = 0,
  x = 552,
  y = 608,
  width = 64,
  height = 32,
  pattern = "1_5",
  tileset = "cars",
}

tile{
  layer = 0,
  x = 0,
  y = 1056,
  width = 1248,
  height = 16,
  pattern = "28",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 0,
  y = 960,
  width = 1248,
  height = 16,
  pattern = "28",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 0,
  y = 976,
  width = 1248,
  height = 80,
  pattern = "26",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 896,
  y = 224,
  width = 80,
  height = 976,
  pattern = "26",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 272,
  y = 224,
  width = 80,
  height = 976,
  pattern = "26",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 416,
  y = 288,
  width = 16,
  height = 32,
  pattern = "11",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 576,
  y = 288,
  width = 16,
  height = 32,
  pattern = "11_3",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 432,
  y = 320,
  width = 144,
  height = 16,
  pattern = "11_6",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 416,
  y = 320,
  width = 16,
  height = 16,
  pattern = "11_5",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 576,
  y = 320,
  width = 16,
  height = 16,
  pattern = "11_4",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 432,
  y = 288,
  width = 144,
  height = 32,
  pattern = "11_2",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 512,
  y = 320,
  width = 8,
  height = 16,
  pattern = "16",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 504,
  y = 328,
  width = 32,
  height = 16,
  pattern = "23",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 408,
  y = 360,
  width = 16,
  height = 24,
  pattern = "11",
}

tile{
  layer = 0,
  x = 472,
  y = 360,
  width = 16,
  height = 24,
  pattern = "11",
}

tile{
  layer = 0,
  x = 536,
  y = 360,
  width = 16,
  height = 24,
  pattern = "11",
}

tile{
  layer = 0,
  x = 600,
  y = 360,
  width = 16,
  height = 24,
  pattern = "11",
}

tile{
  layer = 0,
  x = 832,
  y = 368,
  width = 16,
  height = 16,
  pattern = "11_4",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 800,
  y = 320,
  width = 32,
  height = 48,
  pattern = "11_2",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 800,
  y = 368,
  width = 32,
  height = 16,
  pattern = "11_6",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 832,
  y = 320,
  width = 16,
  height = 48,
  pattern = "11_3",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 784,
  y = 320,
  width = 16,
  height = 48,
  pattern = "11",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 784,
  y = 368,
  width = 16,
  height = 16,
  pattern = "11_5",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 768,
  y = 312,
  width = 16,
  height = 16,
  pattern = "11_3",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 656,
  y = 312,
  width = 16,
  height = 16,
  pattern = "11",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 672,
  y = 328,
  width = 96,
  height = 16,
  pattern = "11_6",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 768,
  y = 328,
  width = 16,
  height = 16,
  pattern = "11_4",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 656,
  y = 328,
  width = 16,
  height = 16,
  pattern = "11_5",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 672,
  y = 312,
  width = 96,
  height = 16,
  pattern = "11_2",
  tileset = "suburbs",
}

tile{
  layer = 0,
  x = 664,
  y = 376,
  width = 16,
  height = 24,
  pattern = "11",
}

tile{
  layer = 0,
  x = 728,
  y = 376,
  width = 16,
  height = 24,
  pattern = "11",
}

tile{
  layer = 0,
  x = 784,
  y = 408,
  width = 16,
  height = 24,
  pattern = "11",
