properties{
  x = 0,
  y = 0,
  width = 416,
  height = 240,
  min_layer = 0,
  max_layer = 2,
  tileset = "halloween",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 416,
  height = 240,
  pattern = "1",
}

tile{
  layer = 0,
  x = 56,
  y = 8,
  width = 320,
  height = 240,
  pattern = "5_2",
  tileset = "grass_green_large",
}

tile{
  layer = 0,
  x = 584,
  y = 336,
  width = 16,
  height = 32,
  pattern = "19_6",
}

tile{
  layer = 0,
  x = 456,
  y = 336,
  width = 128,
  height = 32,
  pattern = "19_5",
}

tile{
  layer = 0,
  x = 440,
  y = 336,
  width = 16,
  height = 32,
  pattern = "19_4",
}

tile{
  layer = 0,
  x = 456,
  y = 304,
  width = 128,
  height = 32,
  pattern = "20_6",
}

tile{
  layer = 0,
  x = 440,
  y = 288,
  width = 16,
  height = 16,
  pattern = "21_5",
}

tile{
  layer = 0,
  x = 440,
  y = 304,
  width = 16,
  height = 32,
  pattern = "20_5",
}

tile{
  layer = 0,
  x = 456,
  y = 288,
  width = 128,
  height = 16,
  pattern = "21_6",
}

tile{
  layer = 0,
  x = 584,
  y = 304,
  width = 16,
  height = 32,
  pattern = "20_4",
}

tile{
  layer = 0,
  x = 488,
  y = 304,
  width = 16,
  height = 32,
  pattern = "19_6",
}

tile{
  layer = 0,
  x = 456,
  y = 304,
  width = 32,
  height = 32,
  pattern = "19_5",
}

tile{
  layer = 0,
  x = 440,
  y = 304,
  width = 16,
  height = 32,
  pattern = "19_4",
}

tile{
  layer = 0,
  x = 456,
  y = 288,
  width = 32,
  height = 16,
  pattern = "20_6",
}

tile{
  layer = 0,
  x = 440,
  y = 272,
  width = 16,
  height = 16,
  pattern = "21_5",
}

tile{
  layer = 0,
  x = 440,
  y = 288,
  width = 16,
  height = 16,
  pattern = "20_5",
}

tile{
  layer = 0,
  x = 456,
  y = 272,
  width = 32,
  height = 16,
  pattern = "21_6",
}

tile{
  layer = 0,
  x = 488,
  y = 288,
  width = 16,
  height = 16,
  pattern = "20_4",
}

tile{
  layer = 0,
  x = 440,
  y = 336,
  width = 16,
  height = 32,
  pattern = "54",
}

tile{
  layer = 0,
  x = 488,
  y = 368,
  width = 16,
  height = 16,
  pattern = "55_3",
}

tile{
  layer = 0,
  x = 456,
  y = 336,
  width = 32,
  height = 32,
  pattern = "54_2",
}

tile{
  layer = 0,
  x = 456,
  y = 368,
  width = 32,
  height = 16,
  pattern = "55_2",
}

tile{
  layer = 0,
  x = 488,
  y = 336,
  width = 16,
  height = 32,
  pattern = "54_3",
}

tile{
  layer = 0,
  x = 440,
  y = 368,
  width = 16,
  height = 16,
  pattern = "55",
}

tile{
  layer = 0,
  x = 440,
  y = 376,
  width = 8,
  height = 8,
  pattern = "49",
}

tile{
  layer = 0,
  x = 440,
  y = 336,
  width = 8,
  height = 40,
  pattern = "46",
}

tile{
  layer = 0,
  x = 448,
  y = 336,
  width = 8,
  height = 40,
  pattern = "47",
}

tile{
  layer = 0,
  x = 448,
  y = 376,
  width = 8,
  height = 8,
  pattern = "48",
}

tile{
  layer = 0,
  x = 488,
  y = 376,
  width = 8,
  height = 8,
  pattern = "49",
}

tile{
  layer = 0,
  x = 488,
  y = 336,
  width = 8,
  height = 40,
  pattern = "46",
}

tile{
  layer = 0,
  x = 496,
  y = 336,
  width = 8,
  height = 40,
  pattern = "47",
}

tile{
  layer = 0,
  x = 496,
  y = 376,
  width = 8,
  height = 8,
  pattern = "48",
}

tile{
  layer = 0,
  x = 440,
  y = 336,
  width = 8,
  height = 8,
  pattern = "40",
}

tile{
  layer = 0,
  x = 496,
  y = 336,
  width = 8,
  height = 8,
  pattern = "39",
}

tile{
  layer = 0,
  x = 448,
  y = 336,
  width = 48,
  height = 8,
  pattern = "38",
}

tile{
  layer = 0,
  x = 464,
  y = 344,
  width = 16,
  height = 32,
  pattern = "53_2",
}

tile{
  layer = 0,
  x = 520,
  y = 336,
  width = 16,
  height = 32,
  pattern = "53_3",
}

tile{
  layer = 0,
  x = 552,
  y = 336,
  width = 16,
  height = 32,
  pattern = "53_3",
}

tile{
  layer = 0,
  x = 504,
  y = 368,
  width = 80,
  height = 32,
  pattern = "54_2",
}

tile{
  layer = 0,
  x = 584,
  y = 368,
  width = 16,
  height = 32,
  pattern = "54_3",
}

tile{
  layer = 0,
  x = 440,
  y = 384,
  width = 16,
  height = 32,
  pattern = "54",
}

tile{
  layer = 0,
  x = 456,
  y = 384,
  width = 32,
  height = 32,
  pattern = "54_2",
}

tile{
  layer = 0,
  x = 488,
  y = 384,
  width = 16,
  height = 32,
  pattern = "54_3",
}

tile{
  layer = 0,
  x = 440,
  y = 384,
  width = 8,
  height = 8,
  pattern = "40",
}

tile{
  layer = 0,
  x = 496,
  y = 384,
  width = 8,
  height = 8,
  pattern = "39",
}

tile{
  layer = 0,
  x = 448,
  y = 384,
  width = 48,
  height = 8,
  pattern = "38",
}

tile{
  layer = 0,
  x = 504,
  y = 368,
  width = 8,
  height = 8,
  pattern = "40",
}

tile{
  layer = 0,
  x = 592,
  y = 368,
  width = 8,
  height = 8,
  pattern = "39",
}

tile{
  layer = 0,
  x = 512,
  y = 368,
  width = 80,
  height = 8,
  pattern = "38",
}

tile{
  layer = 0,
  x = 488,
  y = 416,
  width = 16,
  height = 16,
  pattern = "55_3",
}

tile{
  layer = 0,
  x = 456,
  y = 416,
  width = 32,
  height = 16,
  pattern = "55_2",
}

tile{
  layer = 0,
  x = 440,
  y = 416,
  width = 16,
  height = 16,
  pattern = "55",
}

tile{
  layer = 0,
  x = 584,
  y = 400,
  width = 16,
  height = 16,
  pattern = "55_3",
}

tile{
  layer = 0,
  x = 504,
  y = 400,
  width = 80,
  height = 16,
  pattern = "55_2",
}

tile{
  layer = 0,
  x = 504,
  y = 416,
  width = 8,
  height = 8,
  pattern = "40",
}

tile{
  layer = 0,
  x = 592,
  y = 416,
  width = 8,
  height = 8,
  pattern = "39",
}

tile{
  layer = 0,
  x = 512,
  y = 416,
  width = 80,
  height = 8,
  pattern = "38",
}

tile{
  layer = 0,
  x = 440,
  y = 432,
  width = 8,
  height = 8,
